"country","day","incidence","daily_tests","confirmed","active","deaths","recovered","quarantined","total_tests","deaths_different","imported0601"
"Lithuania","2020-04-18",59,5219,NA,NA,NA,NA,NA,NA,NA,NA
"Lithuania","2020-04-19",28,2310,NA,NA,NA,NA,NA,NA,NA,NA
"Lithuania","2020-04-20",24,4401,NA,NA,NA,NA,NA,NA,NA,NA
"Lithuania","2020-04-21",20,6040,NA,NA,NA,NA,NA,NA,NA,NA
"Lithuania","2020-04-22",28,6798,NA,NA,NA,NA,NA,NA,NA,NA
"Lithuania","2020-04-23",12,7401,NA,NA,NA,NA,NA,NA,NA,NA
"Lithuania","2020-04-24",16,7956,NA,NA,NA,NA,NA,NA,NA,NA
"Lithuania","2020-04-25",12,5540,NA,NA,NA,NA,NA,NA,NA,NA
"Lithuania","2020-04-26",11,2287,NA,NA,NA,NA,NA,NA,NA,NA
"Lithuania","2020-04-27",5,5034,1344,808,44,536,601,111809,NA,NA
"Lithuania","2020-04-28",31,6392,1375,767,45,563,624,118201,NA,NA
"Lithuania","2020-04-29",10,7354,1385,751,45,589,595,125555,NA,NA
"Lithuania","2020-04-30",14,7213,1399,760,45,594,531,132768,NA,NA
"Lithuania","2020-05-01",7,5502,1406,728,46,632,499,138270,NA,NA
"Lithuania","2020-05-02",4,3408,1410,727,46,635,397,141678,NA,NA
"Lithuania","2020-05-03",9,2351,1419,733,46,638,357,144029,NA,NA
"Lithuania","2020-05-04",4,5077,1423,697,46,678,357,149106,NA,NA
"Lithuania","2020-05-05",5,7387,1428,659,48,718,374,156493,3,NA
"Lithuania","2020-05-06",5,7597,1433,642,49,739,317,164088,3,NA
"Lithuania","2020-05-07",3,8101,1436,618,49,765,284,172191,4,NA
"Lithuania","2020-05-08",8,8141,1444,563,49,828,268,180332,4,NA
"Lithuania","2020-05-09",43,3581,1479,597,50,828,321,183913,4,NA
"Lithuania","2020-05-10",6,2652,1485,598,50,833,303,186565,4,NA
"Lithuania","2020-05-11",6,5821,1491,587,50,850,280,192386,4,NA
"Lithuania","2020-05-12",14,7878,1505,537,54,908,273,200264,6,NA
"Lithuania","2020-05-13",6,7989,1511,517,54,934,260,208253,6,NA
"Lithuania","2020-05-14",12,7994,1523,498,54,965,260,216247,6,NA
"Lithuania","2020-05-15",11,7793,1534,485,55,988,272,224040,6,NA
"Lithuania","2020-05-16",7,4686,1541,482,56,997,294,228726,6,NA
"Lithuania","2020-05-17",6,2378,1547,485,59,997,295,231104,6,NA
"Lithuania","2020-05-18",15,6496,1562,471,60,1025,341,237600,6,NA
"Lithuania","2020-05-19",15,7980,1577,460,60,1049,368,245580,8,NA
"Lithuania","2020-05-20",16,7424,1593,475,61,1049,368,253004,8,NA
"Lithuania","2020-05-21",11,6039,1604,424,61,1111,398,259043,8,NA
"Lithuania","2020-05-22",12,5839,1616,410,63,1135,453,264882,8,NA
"Lithuania","2020-05-24",12,2170,1635,426,63,1138,470,269889,8,NA
"Lithuania","2020-05-25",4,5169,1639,401,65,1165,478,275058,8,NA
"Lithuania","2020-05-26",8,6174,1647,389,66,1184,550,281232,8,NA
"Lithuania","2020-05-27",9,6750,1656,387,68,1193,495,287982,8,NA
"Lithuania","2020-05-28",6,6109,1662,370,68,1216,500,294091,8,NA
"Lithuania","2020-05-28",8,5337,1670,362,70,1229,434,299428,9,NA
"Lithuania","2020-05-30",5,3431,1675,360,70,1236,389,302859,9,NA
"Lithuania","2020-05-31",3,1995,1678,363,70,1236,336,304854,9,NA
"Lithuania","2020-06-01",4,4871,1682,353,71,1249,309,309725,9,NA
"Lithuania","2020-06-02",2,5387,1684,344,71,1260,307,315112,9,NA
"Lithuania","2020-06-03",3,5928,1687,334,71,1273,294,321040,9,4
"Lithuania","2020-06-04",7,5254,1694,312,71,1302,273,326294,9,6
"Lithuania","2020-06-05",11,4935,1705,304,71,1321,263,331229,9,8
"Lithuania","2020-06-06",9,2204,1714,306,71,1328,250,333433,9,9
"Lithuania","2020-06-07",6,2253,1720,309,71,1331,225,335686,9,9
"Lithuania","2020-06-08",7,4387,1727,308,72,1338,253,340073,9,9
"Lithuania","2020-06-09",6,5319,1733,280,74,1369,285,345392,10,14
"Lithuania","2020-06-10",19,5396,1752,296,74,1372,294,350788,10,14
"Lithuania","2020-06-11",4,5274,1756,272,74,1400,309,356062,10,15
"Lithuania","2020-06-12",7,4608,1763,262,75,1416,312,360670,10,16
"Lithuania","2020-06-13",5,2858,1768,256,75,1427,326,363528,10,17
"Lithuania","2020-06-14",5,1608,1773,258,76,1429,316,365136,10,17
"Lithuania","2020-06-15",3,4410,1776,249,76,1441,319,369546,10,17
"Lithuania","2020-06-16",2,6026,1778,245,76,1447,338,375572,10,17
"Lithuania","2020-06-17",6,5653,1784,249,76,1449,223,381225,10,18
"Lithuania","2020-06-18",8,4969,1792,244,76,1462,208,386194,10,18
"Lithuania","2020-06-19",3,4263,1795,239,76,1470,187,390457,10,18
"Lithuania","2020-06-20",3,2096,1798,237,76,1475,174,392553,10,18
"Lithuania","2020-06-21",3,1912,1801,240,76,1475,162,394465,10,21
"Lithuania","2020-06-22",2,3952,1803,233,77,1483,131,398417,10,21
"Lithuania","2020-06-23",1,5425,1804,232,78,1484,147,403841,10,21
"Lithuania","2020-06-24",2,2716,1806,224,78,1494,143,406557,10,22
"Lithuania","2020-06-25",2,4310,1808,219,78,1501,140,410867,10,22
"Lithuania","2020-06-26",5,3925,1813,222,78,1503,103,414792,10,24
"Lithuania","2020-06-27",2,1947,1815,224,78,1503,93,416739,10,25
"Lithuania","2020-06-28",1,1629,1816,216,78,1512,63,418368,10,26
"Lithuania","2020-06-29",1,4472,1817,214,78,1515,86,422840,10,27
"Lithuania","2020-06-30",1,5398,1818,206,78,1524,81,428238,10,28
"Lithuania","2020-07-01",7,4219,1825,200,78,1536,66,432457,11,33
"Lithuania","2020-07-02",3,4222,1828,199,79,1539,75,436679,11,34
"Lithuania","2020-07-03",3,3774,1831,196,79,1545,72,440453,11,35
"Lithuania","2020-07-04",5,1789,1836,201,79,1545,71,442242,11,37
"Lithuania","2020-07-05",5,1149,1841,204,79,1547,70,443391,11,37
"Lithuania","2020-07-06",3,1016,1844,207,79,1547,64,444407,11,38
"Lithuania","2020-07-07",10,3587,1854,212,79,1552,120,447994,11,39
"Lithuania","2020-07-08",3,3993,1857,203,79,1564,123,451987,11,42
"Lithuania","2020-07-09",4,3846,1861,202,79,1569,123,455833,11,42
"Lithuania","2020-07-10",4,3571,1865,203,79,1579,119,459404,12,44
"Lithuania","2020-07-11",4,1706,1869,207,79,1571,128,461110,12,45
"Lithuania","2020-07-12",5,556,1874,212,79,1571,116,461666,12,48
"Lithuania","2020-07-13",1,3730,1875,213,79,1571,130,465396,12,48
"Lithuania","2020-07-14",21,3659,1882,209,79,1582,127,469055,12,52
"Lithuania","2020-07-15",6,3749,1902,217,79,1593,107,472804,12,67
"Lithuania","2020-07-16",6,3317,1908,221,79,1595,102,476121,12,68
