"end","R","mu"
2020-03-23,7.79362696026384,0.193087252029892
2020-03-24,7.44098951886943,0.113130642260602
2020-03-25,8.18212014652342,0.268510841497737
2020-03-26,8.14320584957207,0.259916249213948
2020-03-27,8.33247144717605,0.298477494545066
2020-03-28,8.21464877036886,0.27649769219806
2020-03-29,8.19603972482163,0.273420473966197
2020-03-30,8.12870734427407,0.263254765122236
2020-03-31,8.02451730054668,0.249976575623046
2020-04-01,7.7711085872756,0.219583097901465
2020-04-02,7.73001102975437,0.215291440041974
2020-04-03,7.39529224424303,0.184046931855004
2020-04-04,7.44044696019937,0.187998163946995
2020-04-05,7.49969816034709,0.192982989485671
2020-04-06,7.48405187681723,0.191656404944796
2020-04-07,7.47787561274756,0.191162580279783
2020-04-08,7.40350952149933,0.185287952013807
2020-04-09,7.31148552153824,0.178354167540137
2020-04-10,7.29793066974176,0.177384600810712
2020-04-11,7.27354278224866,0.175670258017439
2020-04-12,7.30987865733123,0.17820516855197
2020-04-13,7.3344348817882,0.179935010009878
2020-04-14,7.31258071269684,0.17841810099587
2020-04-15,7.24648083407989,0.173921919038848
2020-04-16,7.22240776022525,0.172307016458307
2020-04-17,7.03145939312205,0.160276602550283
2020-04-18,6.89562772775079,0.152334350734989
2020-04-19,6.84303097925856,0.149388660191085
2020-04-20,6.8065885985117,0.147386708430235
2020-04-21,6.78316840215327,0.14615130252774
2020-04-22,6.77866232305794,0.146007201661866
2020-04-23,6.71577089147878,0.142415550651454
2020-04-24,6.69512958539624,0.141342491918056
2020-04-25,6.68253686336504,0.14068697853955
2020-04-26,6.67992608942982,0.140559676370764
2020-04-27,6.67995395286052,0.14056020234782
2020-04-28,6.63809906519691,0.138426659286585
