"lab_reported","lab_actual"
"Kauno klinikos","LSMU ligoninės Kauno klinikų laboratorija"
"Klaipėdos universitetinė ligoninė","Klaipėdos universitetinės ligoninės laboratorija"
"Medicina practica","UAB „Medicina practica laboratorija“"
"NMVRVI","Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija"
"NVSPL","Nacionalinė visuomenės sveikatos priežiūros laboratorija"
"Santaros klinikos","VU ligoninės Santaros klinikų laboratorija"
"Šiaulių ligoninė","Respublikinės Šiaulių ligoninės laboratorija"
"SK Impeks","UAB „SK Impeks Medicinos diagnostikos centras“"
"Diagnostikos laboratorija","UAB „Diagnostikos laboratorija“ („Antėja“)"
"Baltic medics","UAB „Baltic Medics“"
"NVI","Nacionalinio vėžio instituto laboratorija"
"VU GMC","VU Gyvybės mokslų centras"
"SK Impeks MDC","UAB „SK Impeks Medicinos diagnostikos centras“"
"Invitro diagnostika","UAB „Invitro diagnostika“"
"Panevėžio ligoninė","Respublikinės Panevėžio ligoninės laboratorija"
"Klaipėdos universitetinės ligoninės laboratorija","Klaipėdos universitetinės ligoninės laboratorija"
"LSMU ligoninės Kauno klinikų laboratorija","LSMU ligoninės Kauno klinikų laboratorija"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","Nacionalinė visuomenės sveikatos priežiūros laboratorija"
"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija","Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija"
"Nacionalinio vėžio instituto laboratorija","Nacionalinio vėžio instituto laboratorija"
"Respublikinės Panevėžio ligoninės laboratorija","Respublikinės Panevėžio ligoninės laboratorija"
"Respublikinės Šiaulių ligoninės laboratorija","Respublikinės Šiaulių ligoninės laboratorija"
"UAB „Baltic Medics“","UAB „Baltic Medics“"
"UAB „Diagnostikos laboratorija“","UAB „Diagnostikos laboratorija“ („Antėja“)"
"UAB „Medicina practica laboratorija“","UAB „Medicina practica laboratorija“"
"UAB „SK Impeks Medicinos diagnostikos centras“","UAB „SK Impeks Medicinos diagnostikos centras“"
"VU ligoninės Santaros klinikų laboratorija","VU ligoninės Santaros klinikų laboratorija"
"UAB „Invitro diagnostika“","UAB „Invitro diagnostika“"
"VU Gyvybės mokslų centras","VU Gyvybės mokslų centras"
"UAB „Diagnostikos laboratorija“ („Antėja“)","UAB „Diagnostikos laboratorija“ („Antėja“)"
"Tauragės ligoninės laboratorija","Tauragės ligoninės laboratorija"
"UAB „Diagnostikos laboratorija“ („Antėja“ Kaunas)","UAB „Diagnostikos laboratorija“ („Antėja“ Kaunas)"
"UAB „Diagnostikos laboratorija“ („Antėja“ Vilnius)","UAB „Diagnostikos laboratorija“ („Antėja“ Vilnius)"
"UAB „Diagnostikos laboratorija“ („Antėja“ Klaipėda)","UAB „Diagnostikos laboratorija“ („Antėja“ Klaipėda)"
"SYNLAB Lietuva UAB","SYNLAB Lietuva UAB"
"UAB „InMedica“","UAB „InMedica“"
"Respublikinės Klaipėdos ligoninės laboratorija","Respublikinės Klaipėdos ligoninės laboratorija"
"UAB „Baltic Medics""","UAB „Baltic Medics“"
"UAB „Diagnostikos laboratorija"" („Antėja"" Kaunas)","UAB „Diagnostikos laboratorija“ („Antėja“ Kaunas)"
"UAB „Diagnostikos laboratorija"" („Antėja"" Klaipėda)","UAB „Diagnostikos laboratorija“ („Antėja“ Klaipėda)"
"UAB „Diagnostikos laboratorija"" („Antėja"" Vilnius)","UAB „Diagnostikos laboratorija“ („Antėja“ Vilnius)"
"UAB „InMedica""","UAB „InMedica“"
"UAB „Medicina practica laboratorija""","UAB „Medicina practica laboratorija“"
"UAB „SK Impeks Medicinos diagnostikos centras""","UAB „SK Impeks Medicinos diagnostikos centras“"
